year,table,entry tariff,student satisfaction,research quality,overall score,rank
2023,Accounting & finance,146,3.78,3.51,95,14
2022,Accounting & finance,159,3.97,3.23,91.3,22
2021,Accounting & finance,152,4.14,3.23,91.8,33
2023,Business & Management,175,3.69,3.51,92.7,12
2022,Business & Management,179,3.85,3.23,89.1,10
2021,Business & Management,177,4.11,3.23,95.1,14
2021,Medical technology,128,4.3,3.06,91.5,20
2022,Medical technology,122,4.01,2.85,90,29
2023,Medical technology,125,3.87,3.13,78.7,26
