year,table,institution,Russell group,region,entry tariff,student satisfaction,research quality,overall score,rank,graduate outcomes,graduate plans on track
2023,Marketing,Bournemouth,Non-member,Outside London,116,3.61,2.6,80.5,38,76,78
2023,Business & management,Royal Agr Coll,Non-member,Outside London,115,3.85,,76.5,87,71,75
2023,Accounting & finance,Gloucestershire,Non-member,Outside London,97,3.97,2.17,78.5,84,,
2023,Business & management,Gloucestershire,Non-member,Outside London,115,3.69,2.17,77.3,83,57,71
2023,Marketing,Gloucestershire,Non-member,Outside London,125,3.41,2.17,77.8,59,76,62
2023,Accounting & finance,UWE,Non-member,Outside London,108,3.89,2.76,82.6,58,62,76
2023,Business & management,UWE,Non-member,Outside London,116,4.09,2.76,81.5,52,62,73
2023,Marketing,UWE,Non-member,Outside London,114,3.94,2.76,79.4,46,70,68
2023,Accounting & finance,Bristol,Member,Outside London,158,3.65,3.18,94,18,70,86
2023,Business & management,Bristol,Member,Outside London,155,3.71,3.18,88.5,19,74,71
2023,Marketing,Bristol,Member,Outside London,152,3.69,3.18,88.6,12,,
2023,Accounting & finance,Exeter,Member,Outside London,149,4.02,3.46,97.7,8,88,84
2023,Business & management,Exeter,Member,Outside London,163,3.77,3.46,95.2,8,93,86
2023,Marketing,Exeter,Member,Outside London,,3.86,3.46,93.7,4,90,96
2023,Accounting & finance,Plymouth,Non-member,Outside London,110,3.51,2.81,81.3,64,56,72
2023,Business & management,Plymouth,Non-member,Outside London,114,3.65,2.81,80.7,58,64,72
2023,Marketing,Plymouth,Non-member,Outside London,115,4.03,2.81,83.7,24,80,76
2023,Accounting & finance,Bath,Non-member,Outside London,152,3.96,3.49,98.6,5,92,84
2023,Business & management,Bath,Non-member,Outside London,183,3.94,3.49,98.2,4,91,88
2023,Marketing,Bath,Non-member,Outside London,195,3.86,3.49,100,1,92,88
2023,Business & management,Falmouth,Non-member,Outside London,113,3.91,,74.5,108,63,65
2023,Marketing,Falmouth,Non-member,Outside London,117,3.91,,74.6,76,68,72
2023,Accounting & finance,Coventry,Non-member,Outside London,106,3.87,2.88,80.6,71,52,72
2023,Business & management,Coventry,Non-member,Outside London,115,4.03,2.88,80.8,57,58,72
2023,Marketing,Coventry,Non-member,Outside London,118,3.91,2.88,76.5,65,54,56
2023,Accounting & finance,Staffordshire,Non-member,Outside London,,4,,77.2,89,58,82
2023,Business & management,Staffordshire,Non-member,Outside London,108,3.77,2.99,75.3,101,31,60
2023,Accounting & finance,Birmingham,Member,Outside London,145,3.82,3.3,91.3,29,64,76
2023,Business & management,Birmingham,Member,Outside London,149,3.43,3.3,89.6,17,82,86
2023,Accounting & finance,Worcester,Non-member,Outside London,113,4.04,2.24,81.5,62,,
2023,Business & management,Worcester,Non-member,Outside London,112,3.87,2.24,77.7,78,57,72
2023,Marketing,Worcester,Non-member,Outside London,110,3.63,2.24,78.5,51,84,72
2023,Accounting & finance,B'ham City,Non-member,Outside London,110,3.93,2.36,77.7,88,44,66
2023,Business & management,B'ham City,Non-member,Outside London,116,3.76,2.36,75.1,103,51,59
2023,Marketing,B'ham City,Non-member,Outside London,120,3.95,2.36,79,47,70,72
2023,Accounting & finance,Warwick,Member,Outside London,163,4.14,3.51,100,1,86,82
2023,Business & management,Warwick,Member,Outside London,157,4.18,3.51,96.9,6,90,91
2023,Accounting & finance,Wolverhampton,Non-member,Outside London,98,4.09,2.6,79,81,50,70
2023,Business & management,Wolverhampton,Non-member,Outside London,98,3.9,2.6,72.3,114,39,52
2023,Marketing,Wolverhampton,Non-member,Outside London,108,3.48,2.6,70.8,89,44,56
2023,Accounting & finance,Aston,Non-member,Outside London,130,3.74,3.09,91.7,26,82,86
2023,Business & management,Aston,Non-member,Outside London,136,3.77,3.09,86.6,28,75,74
2023,Marketing,Aston,Non-member,Outside London,133,3.59,3.09,84.9,20,76,76
2023,Accounting & finance,Keele,Non-member,Outside London,104,3.81,2.77,82.6,57,58,80
2023,Business & management,St Mary Tw'ham,Non-member,London,104,3.98,2.17,76.3,89,53,64
2023,Marketing,St Mary Tw'ham,Non-member,London,110,4.15,,72.5,83,,
2023,Business & management,Keele,Non-member,Outside London,113,3.88,2.77,81.1,56,66,68
2023,Marketing,Keele,Non-member,Outside London,121,3.94,2.77,81.3,33,66,74
2023,Business & management,Newman,Non-member,Outside London,91,4.14,,70.8,121,,
2023,Accounting & finance,Leeds Beckett,Non-member,Outside London,103,3.97,2.23,80.6,70,60,82
2023,Business & management,Leeds Beckett,Non-member,Outside London,109,3.83,2.23,76.8,85,64,65
2023,Marketing,Leeds Beckett,Non-member,Outside London,113,3.94,2.23,76.6,64,64,72
2023,Accounting & finance,Leeds Trinity,Non-member,Outside London,83,3.57,,66.3,104,,
2023,Business & management,Leeds Trinity,Non-member,Outside London,107,3.68,,69.9,123,40,70
2023,Marketing,Leeds Trinity,Non-member,Outside London,103,3.23,,70,92,64,82
2023,Accounting & finance,Sheffield Hallam,Non-member,Outside London,111,3.79,2.55,78.5,83,48,68
2023,Business & management,Sheffield Hallam,Non-member,Outside London,111,3.86,2.55,79.9,60,69,74
2023,Marketing,Sheffield Hallam,Non-member,Outside London,115,3.73,2.55,78,57,70,72
2023,Accounting & finance,Huddersfield,Non-member,Outside London,119,3.77,2.64,80.5,72,44,68
2023,Business & management,Huddersfield,Non-member,Outside London,125,3.83,2.64,79.4,64,54,64
2023,Marketing,Huddersfield,Non-member,Outside London,126,3.58,2.64,83.5,26,86,80
2023,Accounting & finance,Hull,Non-member,Outside London,115,4.03,2.92,85.6,44,58,76
2023,Business & management,Hull,Non-member,Outside London,119,3.84,2.92,84.5,38,70,81
2023,Marketing,Hull,Non-member,Outside London,126,3.94,2.92,84.5,21,76,74
2023,Accounting & finance,Sheffield,Member,Outside London,141,3.79,3.25,91.3,28,62,86
2023,Business & management,Sheffield,Member,Outside London,138,3.59,3.25,86.5,29,70,79
2023,Business & management,York,Member,Outside London,140,3.85,3.24,88.2,22,72,79
2023,Marketing,York,Member,Outside London,135,3.84,,78.5,52,74,80
2023,Accounting & finance,York St John,Non-member,Outside London,100,3.67,2.23,75.8,94,,
2023,Business & management,York St John,Non-member,Outside London,101,3.66,2.23,75.2,102,59,73
2023,Marketing,York St John,Non-member,Outside London,99,3.66,2.23,71.7,86,,
2023,Accounting & finance,Bradford,Non-member,Outside London,117,3.45,3.03,79.3,80,36,70
2023,Business & management,Bradford,Non-member,Outside London,116,4.1,3.03,77.8,76,35,57
2023,Marketing,Bradford,Non-member,Outside London,133,3.83,3.03,78.6,49,42,62
2023,Accounting & finance,Leeds,Member,Outside London,165,3.87,3.42,98.8,4,82,88
2023,Business & management,Leeds,Member,Outside London,156,3.91,3.42,93.2,11,83,84
2023,Marketing,Leeds,Member,Outside London,161,3.89,3.42,92.9,6,82,82
